year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton Middle|7,Melody Shekari,shekari,US House,3,FALSE,democratic,total,81,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton Middle|7,Rick Tyler,tyler,US House,3,FALSE,independent,total,13,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Dutch Valley|8,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,237,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Dutch Valley|8,Topher Kersting,kersting,US House,3,FALSE,independent,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Dutch Valley|8,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,6,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Dutch Valley|8,Melody Shekari,shekari,US House,3,FALSE,democratic,total,70,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Dutch Valley|8,Rick Tyler,tyler,US House,3,FALSE,independent,total,12,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Emory Valley|9,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1170,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Emory Valley|9,Topher Kersting,kersting,US House,3,FALSE,independent,total,19,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Emory Valley|9,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,26,,,,,,,,,,,,,,,
